Title,Location,start_salary,max_salary,skills
Customer Service/Customer Support,Gurgaon,10000,10000,"English Proficiency Spoken, English Proficiency Written, Hindi Proficiency Spoken, MSExcel, MSOffice"
Social Media Content Creation,Pune,5000,10000,"Adobe Photoshop, Adobe Premiere Pro, Canva, Digital Marketing, MSOffice"
Social Media Marketing,Jaipur,2000,2000,"Digital Marketing, Facebook Marketing, Instagram Marketing, Social Media Marketing"
FOTS Engineer,Delhi,15000,15000,"Computer Networking, Computer Networks, Network Security"
Digital Marketing,Delhi,15000,15000,"Canva, Creative Writing, Digital Marketing, Email Marketing, English Proficiency Written, Facebook Marketing, Instagram Marketing, Search Engine Optimization SEO, Social Media Marketing"
Content Writing,Delhi,10000,12000,"Blogging, Content Writing, Creative Writing, English Proficiency Spoken, English Proficiency Written"
Brand Management,Mumbai,12000,12000,"Adobe Photoshop, Canva, English Proficiency Spoken, English Proficiency Written, MSExcel, MSPowerPoint, Social Media Marketing"
Motion Graphics Designer (Social Media),Remote,25000,35000,"3ds Max, Adobe After Effects, Adobe Flash, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Animation, Autodesk Maya, Blender 3D, Cinema 4D, DaVinci Resolve, Unreal Engine, Video Editing, Video Making"
Company Secretary (CS),Gurgaon,15000,15000,"English Proficiency Spoken, MSOffice, MSWord"
Community Management,Bangalore,20000,20000,"Content Writing, Effective Communication, English Proficiency Spoken, English Proficiency Written, Hindi Proficiency Spoken, Time Management"
Social Media Marketing,Bangalore,15000,15000,"English Proficiency Spoken, Facebook Marketing, Instagram Marketing, Social Media Marketing"
Project Management,Jaipur,5000,10000,"Product Lifecycle ManagementPLM, Product Management, Project Management, Research and Analytics"
Media & Public Relations (PR),Bangalore,10000,10000,"Content Writing, Creative Writing, Effective Communication, English Proficiency Spoken, English Proficiency Written, Google Suite G Suite, Research and Analytics"
R&D Engineer,Bangalore,15000,15000,"AutoCAD, Autodesk Inventor, SolidWorks"
Human Resources (HR),Mumbai,10000,10000,"English Proficiency Spoken, English Proficiency Written, MSOffice, Recruitment, Time Management, Training And Development"
Sales and Marketing,Bangalore,7000,7000,"Client Relationship, Effective Communication, Sales"
Travel Consultant,Delhi,8000,8000,Holiday Package Design
Print,Mumbai,10000,10000,"Adobe Illustrator, Adobe Photoshop, CorelDRAW"
Human Resources (HR),Bhopal,2000,10000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, MSWord"
